method,edit,first_prefix,last_prefix,stratum,metric,paired_inputs,change
BE,101,1,16,H,joint_on_correct,2,0.0
BE,101,1,16,H,original_reference_correct,2,0.0
BE,101,1,16,H,semantic,2,0.0
BE,101,1,16,T0,joint_on_correct,1,0.0
BE,101,1,16,T0,original_reference_correct,1,0.0
BE,101,1,16,T0,semantic,1,0.0
BE,101,1,16,U,joint_on_correct,12,0.0
BE,101,1,16,U,original_reference_correct,12,0.16666666666666666
BE,101,1,16,U,semantic,12,0.16666666666666666
BE,101,1,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,101,1,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,101,1,16,cross_family_confirmation,semantic,2,0.0
BE,101,1,16,source_style_confirmation,joint_on_correct,2,0.0
BE,101,1,16,source_style_confirmation,original_reference_correct,2,0.0
BE,101,1,16,source_style_confirmation,semantic,2,0.0
BE,102,4,16,H,joint_on_correct,1,0.0
BE,102,4,16,H,original_reference_correct,1,0.0
BE,102,4,16,H,semantic,1,0.0
BE,102,4,16,T0,joint_on_correct,1,0.0
BE,102,4,16,T0,original_reference_correct,1,0.0
BE,102,4,16,T0,semantic,1,0.0
BE,102,4,16,U,joint_on_correct,13,0.0
BE,102,4,16,U,original_reference_correct,13,0.0
BE,102,4,16,U,semantic,13,0.0
BE,102,4,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,102,4,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,102,4,16,cross_family_confirmation,semantic,2,0.0
BE,102,4,16,source_style_confirmation,joint_on_correct,2,0.0
BE,102,4,16,source_style_confirmation,original_reference_correct,2,0.0
BE,102,4,16,source_style_confirmation,semantic,2,0.0
BE,103,4,16,H,joint_on_correct,1,0.0
BE,103,4,16,H,original_reference_correct,1,0.0
BE,103,4,16,H,semantic,1,0.0
BE,103,4,16,T0,joint_on_correct,1,0.0
BE,103,4,16,T0,original_reference_correct,1,0.0
BE,103,4,16,T0,semantic,1,0.0
BE,103,4,16,U,joint_on_correct,13,0.0
BE,103,4,16,U,original_reference_correct,13,0.07692307692307693
BE,103,4,16,U,semantic,13,0.07692307692307693
BE,103,4,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,103,4,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,103,4,16,cross_family_confirmation,semantic,2,0.0
BE,103,4,16,source_style_confirmation,joint_on_correct,2,0.0
BE,103,4,16,source_style_confirmation,original_reference_correct,2,0.0
BE,103,4,16,source_style_confirmation,semantic,2,0.0
BE,104,4,16,H,joint_on_correct,2,0.0
BE,104,4,16,H,original_reference_correct,2,0.0
BE,104,4,16,H,semantic,2,0.0
BE,104,4,16,T0,joint_on_correct,1,0.0
BE,104,4,16,T0,original_reference_correct,1,0.0
BE,104,4,16,T0,semantic,1,0.0
BE,104,4,16,U,joint_on_correct,12,0.0
BE,104,4,16,U,original_reference_correct,12,-0.16666666666666666
BE,104,4,16,U,semantic,12,-0.16666666666666666
BE,104,4,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,104,4,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,104,4,16,cross_family_confirmation,semantic,2,0.0
BE,104,4,16,source_style_confirmation,joint_on_correct,2,0.0
BE,104,4,16,source_style_confirmation,original_reference_correct,2,0.0
BE,104,4,16,source_style_confirmation,semantic,2,0.0
BE,105,8,16,H,joint_on_correct,2,0.0
BE,105,8,16,H,original_reference_correct,2,0.0
BE,105,8,16,H,semantic,2,0.0
BE,105,8,16,T0,joint_on_correct,1,0.0
BE,105,8,16,T0,original_reference_correct,1,0.0
BE,105,8,16,T0,semantic,1,0.0
BE,105,8,16,U,joint_on_correct,12,0.0
BE,105,8,16,U,original_reference_correct,12,0.0
BE,105,8,16,U,semantic,12,0.0
BE,105,8,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,105,8,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,105,8,16,cross_family_confirmation,semantic,2,0.0
BE,105,8,16,source_style_confirmation,joint_on_correct,2,0.0
BE,105,8,16,source_style_confirmation,original_reference_correct,2,0.0
BE,105,8,16,source_style_confirmation,semantic,2,0.0
BE,106,8,16,H,joint_on_correct,2,0.0
BE,106,8,16,H,original_reference_correct,2,0.0
BE,106,8,16,H,semantic,2,0.0
BE,106,8,16,T0,joint_on_correct,1,0.0
BE,106,8,16,T0,original_reference_correct,1,0.0
BE,106,8,16,T0,semantic,1,0.0
BE,106,8,16,U,joint_on_correct,12,-0.08333333333333333
BE,106,8,16,U,original_reference_correct,12,-0.16666666666666666
BE,106,8,16,U,semantic,12,-0.16666666666666666
BE,106,8,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,106,8,16,cross_family_confirmation,original_reference_correct,2,0.0
